,,Standard Ethnicity,Parent,Order
ONS 2001 extended - Style 2,Irish traveller,Irish traveller,White,4330
ONS 2001 extended - Style 2,White other,White other,White,4900
ONS 2001 extended - Style 2,White other than British,,,
ONS 2001 extended - Style 2,Other,Other inc Chinese,Other inc Chinese,9020
ONS 2001 extended - Style 2,Other inc Asian,,,
ONS 2001 extended - Style 2,Other inc Chinese,Other inc Chinese,Other inc Chinese,9020
ONS 2001 extended - Style 2,Other inc Mixed,,,
ONS 2001 extended - Style 2,Other inc Mixed and Chinese,,,
ONS 2001 extended - Style 2,Other (inc Gypsy/Traveller/Irish Traveller),,,
ONS 2001 extended - Style 2,Other than White,,,
ONS 2001 extended - Style 2,Other than White British,,,
ONS 2001 extended - Style 2,Any other,Any other,Any other,9900
