Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Unknown,Unknown,Unknown,9980,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Unclassified,Unclassified,Unclassified,9990,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Unmatched,Unmatched,Unmatched,9991,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Not applicable,Not applicable,Not applicable,9999,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Any other,Other,Other,9000,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Asian,Asian,Asian,1000,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",Mixed,Mixed,Mixed,3000,
13A,APS detailed - 13,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other",White,White,White,4000,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",All,All,All,0,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Bangladeshi,Bangladeshi,Asian,1100,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Chinese,Chinese,Asian,1200,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Indian,Indian,Asian,1300,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Pakistani,Pakistani,Asian,1400,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Asian other,Asian other,Asian,1900,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Black,Black,Black,2000,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Mixed White/Asian,Mixed White/Asian,Mixed,3100,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Mixed White/Black,Mixed White/Black,Mixed,3200,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Mixed other,Mixed other,Mixed,3900,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Other,Other,Other,9000,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",White British,White British,White,4100,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",White Irish,White Irish,White,4200,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",White other,White other,White,4900,TRUE
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Unknown,Unknown,Unknown,9980,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Unclassified,Unclassified,Unclassified,9990,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Unmatched,Unmatched,Unmatched,9991,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Not applicable,Not applicable,Not applicable,9999,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Any other,Other,Other,9000,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Asian,Asian,Asian,1000,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",Mixed,Mixed,Mixed,3000,
13A+,APS detailed - 13 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed White/Asian, Mixed White/Black, Mixed other, White British, White Irish, White other, Other with broad categories",White,White,White,4000,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Asian excluding Chinese,Asian,Asian,1000,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Bangladeshi,Bangladeshi,Asian,1100,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Indian,Indian,Asian,1300,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Pakistani,Pakistani,Asian,1400,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Asian other,Asian other,Asian,1900,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Black African,Black African,Black,2100,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Black Caribbean,Black Caribbean,Black,2200,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Black other,Black other,Black,2900,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Mixed White/Asian,Mixed White/Asian,Mixed,3100,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Mixed White/Black African,Mixed White/Black African,Mixed,3200,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Mixed White/Black Caribbean,Mixed White/Black Caribbean,Mixed,3300,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Mixed other,Mixed other,Mixed,3900,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,White British,White British,White,4100,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,White Irish,White Irish,White,4200,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,White other,White other,White,4900,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Chinese,Chinese,Other inc Chinese,9030,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Any other,Any other,Other inc Chinese,9900,TRUE
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,All,All,All,0,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Asian,Asian,Asian,1000,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Black,Black,Black,2000,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Mixed,Mixed,Mixed,3000,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,White,White,White,4000,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Other,Other inc Chinese,Other inc Chinese,9020,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Other inc Chinese,Other inc Chinese,Other inc Chinese,9020,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Unknown,Unknown,Unknown,9980,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Unclassified,Unclassified,Unclassified,9990,
